action,index,row
insert,571,"{'cost center': nan, 'country code': 'CE'}"
insert,572,"{'cost center': nan, 'country code': 'CE'}"
insert,573,"{'cost center': nan, 'country code': 'CE'}"
insert,574,"{'cost center': nan, 'country code': 'CE'}"
insert,575,"{'cost center': nan, 'country code': 'CE'}"
insert,576,"{'cost center': nan, 'country code': 'CE'}"
insert,577,"{'cost center': nan, 'country code': 'CE'}"
insert,578,"{'cost center': nan, 'country code': 'CE'}"
insert,579,"{'cost center': nan, 'country code': 'CE'}"
insert,580,"{'cost center': nan, 'country code': 'CE'}"
insert,581,"{'cost center': nan, 'country code': 'CE'}"
insert,616,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,617,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,618,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,619,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,620,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,621,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,622,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,623,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,624,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,625,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,626,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,627,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,628,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,629,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,630,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,631,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,632,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,633,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,634,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,635,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,636,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,637,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,638,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,639,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,640,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,641,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,642,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,643,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,644,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
insert,645,"{'cost center': '1000/GN111S0001', 'country code': 'GN'}"
